municipio,hotel,cod_caminho
"Lavras Novas","Hotel Recanto da Serra",02
"Lavras Novas","Hospedaria Vila Rica",02
"Lavras Novas","Trilhas de Minas Hostel Camping",02
"Lavras Novas","Hotel Brasil Real",02
"Lavras Novas","Pousada Contos de Minas",02
"Lavras Novas","Chalé Cartuxa Park",02
"Lavras Novas","Capricho Asturiano",02
"Lima Duarte","Villa Nova Chalés",02
"Lima Duarte","Bela Casinha - No Caminho de Ibitipoca",02
"Lima Duarte","Sítio Vovô Zezé - rota de bike e motocross",02
"Lima Duarte","Sítio das Hortênsias",02
"Lima Duarte","Chalés Belo Vale - Rua do Curro",02
"Lima Duarte","Chalés Belo Vale - Rua do Céu",02
"Lima Duarte","Pousada Sangha Pyara",02
"Lima Duarte","Chalés Belvedere",02
"Lima Duarte","Du Vadinho Hotel",02
"Lima Duarte","Casa Cantinho da serra",02
"Lima Duarte","Chalés Sítio Do Tanque",02
"Lima Duarte","Serra do Ibitipoca Hotel de Lazer",02
"Lima Duarte","Casa Ibitipoca",02
"Lima Duarte","APT VILA IBITIPOCA",02
"Lima Duarte","Apartamento Centro",02
"Lima Duarte","Casa Cambuí Hospedagem Rural Familiar",02
Magé,"Casa em Mini Sítio na Praia de Mauá",02
Magé,"Casa do papai Noel",02
Magé,"Charmoso Sítio em Parada Modelo",02
Magé,"Rancho Cravo e Canela - Guapimirim",02
Magé,"Suítes Caminho das Rosas Experiência na Montanha",02
Magé,"Sítio dos Guedes",02
Magé,"Pousada Camping dos Ypês",02
Magé,"Espaço Aconchegante Na Ilha de Paquetá",02
Magé,"Casa Espaçosa Ilha de Paquetá",02
Magé,PACHAMAMA,02
Magé,"Casa de Noca Paquetá",02
Magé,"Carvalho de Paquetá",02
Magé,"Casa do Lago",02
Magé,"Loft completo próximo a cachoeira",02
Magé,"Sitio Da Wal",02
Magé,"Loft Aconchegante em Petrópolis",02
Magé,"Hotel Caracas Rio Aeroporto Galeão",02
Magé,"Hotel Plage",02
Magé,"Fog GuestHouse",02
Magé,"Princesa Isabel Pousada e Hotel – Visconde",02
Magé,"Apartamento aconchegante",02
Magé,"Hostel Petrópolis",02
Magé,"Recanto da CBF",02
Magé,"Chamego em Teresópolis",02
Magé,"CurtaTerê: piscina, cachoeira, churrasqueira, muito verde",02
"Paraíba do Sul","WTR CHALÉS",02
"Paraíba do Sul","ibis Styles Tres Rios",02
"Paraíba do Sul","Hotel Comendador",02
"Paraíba do Sul","Sítio 1001 - Observe o mais belo céu do RJ",02
"Paraíba do Sul","HOSTEL DAS ESTRELAS",02
Petrópolis,"ibis budget Petropolis",02
Petrópolis,"Hospedaria Alecrim - Pousada Sustentável APA",02
Petrópolis,"Princesa Isabel Pousada e Hotel – Visconde",02
Petrópolis,"POUSADA QUINTA DOS PÁSSAROS PETRÓPOLIS antiga Pousada e SPA Apoema",02
Petrópolis,"Granja Brasil - NM Imovéis Itaipava",02
Petrópolis,"Pousada Monte Imperial",02
Petrópolis,"Apartamento aconchegante",02
Petrópolis,"Casa de Campo rústica no Vale das Videiras",02
Petrópolis,"Hostel Petrópolis",02
Petrópolis,"Pousada Imperial Koeler",02
Petrópolis,"Loft Aconchegante em Petrópolis",02
Petrópolis,"Casa de vidro",02
Petrópolis,"Casa Fazenda Inglesa - Anexo",02
Petrópolis,"Fog GuestHouse",02
Petrópolis,"Loft Palácio de Cristal",02
Petrópolis,"Ace Casinha & Chalet - Centro histórico",02
Petrópolis,"Chalé Rosa do Vale",02
Petrópolis,"Palácio Quitandinha Espetacular Apartamento com Vista para o Lago",02
Petrópolis,"Nosso Sítio - Rancho Santa Clara Itaipava",02
Petrópolis,"Bomtempo II - Chales da Mata",02
Petrópolis,"Apart-hotel Granja Brasil Itaipava",02
Petrópolis,"Estudio Itaipava Suíte",02
Petrópolis,"Fazenda Piloes",02
Petrópolis,"Suites em meio a Mata Atlântica",02
Petrópolis,"Estância das Nascentes - Sítio São Francisco",02
Piranga,"Hotel Fazenda Pirapetinga",02
"Rio de Janeiro","Rio Othon Palace",02
"Rio de Janeiro","Pestana Rio Atlantica",02
"Rio de Janeiro","Arena Ipanema Hotel",02
"Rio de Janeiro","Hilton Copacabana Rio de Janeiro",02
"Rio de Janeiro","Novotel Rio de Janeiro Leme",02
"Rio de Janeiro","Hilton Barra Rio de Janeiro",02
"Rio de Janeiro","Mar Palace Copacabana Hotel",02
"Rio de Janeiro","Laghetto Stilo Barra Rio",02
"Rio de Janeiro","Savoy Othon",02
"Rio de Janeiro","ibis Rio de Janeiro Barra da Tijuca",02
"Rio de Janeiro","Novotel Rio de Janeiro Barra da Tijuca",02
"Rio de Janeiro","Novotel RJ Santos Dumont",02
"Rio de Janeiro","B&B Hotels Rio de Janeiro Norte",02
"Rio de Janeiro","Mercure Rio Boutique Hotel Copacabana",02
"Rio de Janeiro","ibis Rio de Janeiro Centro",02
"Rio de Janeiro","Novotel RJ Porto Atlantico",02
"Rio de Janeiro","Copacabana Palace, A Belmond Hotel, Rio de Janeiro",02
"Rio de Janeiro","Grand Mercure Rio de Janeiro Copacabana",02
"Rio de Janeiro","Selina Copacabana",02
"Rio de Janeiro","Hotel Villa Rica",02
"Rio de Janeiro","Arena Leme Hotel",02
