municipio,atracao,caminho
"Antônio Carlos","Igreja Nossa Senhora do Rosário","Caminho Novo"
"Antônio Carlos","Igreja São Sebastião","Caminho Novo"
"Antônio Carlos","Locomotiva 66","Caminho Novo"
Barbacena,"Basílica de São José Operário","Caminho Novo"
Barbacena,"Biblioteca da EPCAR","Caminho Novo"
Barbacena,"Fundação Municipal de Cultura","Caminho Novo"
Barbacena,"Igreja Boa Morte","Caminho Novo"
Barbacena,"Igreja do Rosário","Caminho Novo"
Barbacena,"Igreja Matriz de São Sebastião","Caminho Novo"
Barbacena,"Igreja Matriz Nossa Senhora da Piedade","Caminho Novo"
Barbacena,"Museu da Loucura","Caminho Novo"
"Belmiro Braga","Matriz de São José","Caminho Novo"
"Bias Fortes","Igreja Nossa Senhora das Dores","Caminho Novo"
"Capela Nova","Igreja Matriz Nossa Senhora das Dores","Caminho Novo"
Caranaíba,"Igreja Matriz de Nossa Senhora da Glória","Caminho Novo"
Carandaí,"Igreja de Nossa Senhora da Glória","Caminho Novo"
"Catas Altas da Noruega","Capela Nossa Senhora da Conceição","Caminho Novo"
"Catas Altas da Noruega","Capela Nossa Senhora dos Remédios","Caminho Novo"
"Catas Altas da Noruega","IGREJA MATRIZ DE SÃO GONÇALO DO AMARANTE","Caminho Novo"
"Catas Altas da Noruega","Igreja Nossa Senhora do Rosário","Caminho Novo"
"Catas Altas da Noruega","Museu e Arquivo Histórico Memorial Padre Luiz Gonzaga Pinheiro","Caminho Novo"
Chácara,"Cachoeira dos Menezes","Caminho Novo"
Chiador,"Cachoeira Barra Mansa","Caminho Novo"
Cipotânea,"Igreja Matriz de São Caetano","Caminho Novo"
"Conselheiro Lafaiete","Biblioteca e Museu Antônio Perdigão","Caminho Novo"
"Conselheiro Lafaiete","Fazenda da Água Limpa","Caminho Novo"
"Conselheiro Lafaiete","Igreja Matriz de São Sebastião","Caminho Novo"
"Conselheiro Lafaiete","Matriz de Nossa Senhora da Conceição","Caminho Novo"
"Conselheiro Lafaiete","Museu Ferroviário","Caminho Novo"
"Conselheiro Lafaiete","Praça Barão de Queluz","Caminho Novo"
"Coronel Pacheco","Cachoeira Triqueda","Caminho Novo"
"Cristiano Otoni","Cachoeira da Pedra","Caminho Novo"
"Cristiano Otoni","Cachoeira da Usina","Caminho Novo"
"Cristiano Otoni","Cachoeira do Balneário","Caminho Novo"
"Cristiano Otoni","Capela de Nossa Senhora da Guia","Caminho Novo"
"Cristiano Otoni","Estação Ferroviária de Cristiano Otoni","Caminho Novo"
"Cristiano Otoni","Igreja Matriz de Santo Antônio","Caminho Novo"
"Cristiano Otoni","Trilha do João Mina","Caminho Novo"
"Cristiano Otoni","Trilha Treme Treme","Caminho Novo"
"Desterro do Melo","Cachoeira dos 5 Saltos","Caminho Novo"
"Desterro do Melo","Igreja de Nossa Senhora do Rosário","Caminho Novo"
"Desterro do Melo","Igreja Matriz Nossa Senhora do Desterro","Caminho Novo"
"Diogo de Vasconcelos","Cachoeira da Laranja","Caminho Novo"
"Diogo de Vasconcelos","Igreja São Domingos do Gusmão","Caminho Novo"
"Ewbank da Câmara","Barragem Chapéu das Duvas","Caminho Novo"
Ibertioga,"Cachoeira do Mato Grosso","Caminho Novo"
Itaipava,"Castelo de Itaipava","Caminho Novo"
Itaipava,"Cervejaria Itaiapava","Caminho Novo"
Itaipava,"Feirinha de Itaipava","Caminho Novo"
Itatiaia,"Igreja Matriz de Santo Antônio","Caminho Novo"
Itatiaia,"Monumento Natural de Itatiaia","Caminho Novo"
"Juiz de Fora","Casa de Cultura","Caminho Novo"
"Juiz de Fora","Catedral Metropolitana","Caminho Novo"
"Juiz de Fora","Centro Cultural Bernardo Mascarenhas","Caminho Novo"
"Juiz de Fora","Cine-Theatro Central","Caminho Novo"
"Juiz de Fora","Circuito Cervejas Artesanais JF","Caminho Novo"
"Juiz de Fora","Fórum da Cultura","Caminho Novo"
"Juiz de Fora","JF Sabores - Juiz de Fora","Caminho Novo"
"Juiz de Fora","Mercado Municipal - Juiz de Fora","Caminho Novo"
"Lavras Novas","Cachoeiras de Lavras Novas","Caminho Novo"
